#,Name,Contry,Vehicle,ET,MPH,Track
80,Jonathan Grech,MLT,Toyota Starlet,9.5640,150.25,Hal-Far  
81,Michał Surowiński,POL,Toyota Celica,9.5700,162.03,Finsterwalde 
82,Stavros Louridas,GRC,Citroen Saxo,9.5810,153.10,Tympaki 
83,Douglas Attard,MLT,Honda Civic,9.5840,155.62,Hal-Far 
84,Fotis Xondropoulos,GRC,Peugeot 106,9.5860,147.25,Agrino
85,Lee Ross,ENG,VW Jetta,9.5920,156.84,Santa Pod 
86,Robert Uhr,SWE,Saab 9-3,9.6020,151.09,Orsa 
87,Joachim Schumacher,DEU,Opel Corsa,9.6030,152.94,Kiskunlacháza 
88,Jakob Hansen,DNK,Toyota Starlet,9.6070,147.19,Kjula Dragway 
89,Boba Kettler,DEU,VW Polo,9.6170,147.06,Bitburg 
90,Nicholas Hackiere,FRA,Citroen AX,9.6250,151.57,Santa Pod 
91,Tasos Labrakis,GRC,Honda Civic,9.6260,158.64, Agrinio
92,Dawid Gezella,POL,Opel Corsa,9.6300,147.94,Pila
93,Aggelos Papailias,GRC,Honda Civic,9.6480,154.37,Kopaida 
94,Adam Gile,ROU,Opel Astra,9.6480,145.82,Kiskunlacháza 
95,Glen Caruana,MLT,Toyota Starlet,9.6500,150.01,Hal-Far 
96,Douglas Gemmell,ENG,Honda Civic,9.6570,157.95,Santa Pod 
97,Chris Pekitu,MLT,Toyota Starlet,9.6580,145.16,Hal-Far 
98,Sandor Vogelsinger,HUN,Honda Civic,9.6650,150.03,Kunmadaras 
99,Reangelo Bentura,NLD,Honda Civic,9.6690,151.14,Drachten 
100,Conrad Vella,MLT,Opel Astra,9.6770,152.96,Ħal-Far  
101,Maxim Pyritkov,RUS,Lada Samara,9.6800,150.33,Yevpatoriia 
102,Dimitris Zachos,GRC,Seat Leon,9.6990,155.88,Agrinio
103,Kamil Krzemień,POL,Mazda 323,9.7060,152.02,Finsterwalde 
104,Christoph Wiesener,DEU,Honda Civic,9.7090,152.90,Finsterwalde 
105,Giorgos Papadopoulos,GRC,Toyota Starlet,9.7090,149.75,Polykastro  
106,Robert Lord,ENG,VW Golf,9.7150,152.00,Santa Pod 
107,Nikos Gasparatos,GRC,Honda Civic,9.7260,149.65,Polykastro 
108,Lakwvos Markesinis,GRC,Honda Civic,9.7420,149.12,Thiva 
109,Lefteris Diamadis,GRC,Citreon AX,9.7450,140.41,Tympaki 
110,Wayne Scicluna,MLT,Toyota Starlet,9.7490,145.45,Hal-Far Raceway
111,Jacob Bailey,GBR,VW Jetta,9.7500,153.17,Santa Pod
112,Michael Clarke,ENG,Ford Fiesta,9.7610,152.59,Santa Pod 
113,Maruli Vean Haastert,NLD,Honda Civic,9.7660,153.80,Drachten 
114,Iwan Haisma,NLD,VW Lupo,9.7730,143.84,Drachten 
115,Daniel Micallef,MLT,Ford Focus,9.7800,148.78,Hal-Far 
116,Chris Sutton,ENG,Honda Civic,9.7870,149.63,Santa Pod 
117,Adam Buckley,ENG,Honda Civic,9.7910,145.70,Santa Pod 
118,Nicklas Ekwall,SWE,Honda Crx,9.7940,151.28,Tierp 
119,Falco Rumpel,DEU,VW Golf,9.7990,148.86,Finsterwalde 
120,Igor Baranov,RUS,Honda Civic,9.8010,150.02,Grozny 
121,Xristos Soulos,GRC,Honda Civic,9.8100,152.58,Tympaki 
122,Tim Bechtold,DEU,Opel Corsa,9.8150,151.03,Hockenheim  
123,Martin Vella,MLT,Toyota Starlet,9.8160,140.00,Hal-Far 
124,John Spiteri,MLT,Honda Integra,9.8210,159.04,Hal-Far 
125,Ray Saunders,ENG,Honda Civic,9.8240,155.26,Santa Pod 
126,Sergey Starshinov,RUS,Lada Samara,9.8260,150.99,Zaporozhye 
127,Marvin Micallef,MLT,Toyota Windy,9.8390,145.96,Hal-Far  
128,Scott Parkin,ENG,Seat Arosa,9.8470,142.99,Santa Pod 
129,Pete Wilson,ENG,Vauxhall Corsa,9.8560,153.16,Santa Pod 
130,Mirel Stoinea,ROU,VW Golf,9.8590,142.57,Arad
131,Rafal Kakol,POL,VW Golf,9.8670,147.07,Pila 
132,Andy Speck,ENG,Vauxhall Tigra,9.8680,148.63,Santa Pod 
133,Dimitris Batsios,GRC,VW Golf,9.8700,143.57,Thiva  
134,Terry Newton,GBR,Ford Escort Van ,9.8730,150.12,Santa Pod
135,Gino De Jong,NLD,Honda Civic,9.8730,144.34,Santa Pod 
136,Paul Gatt,MLT,Toyota Glanza,9.8770,148.41,Hal-Far  
137,Ste Powell,ENG,Vauxhall Tigra,9.8810,150.00,Santa Pod 
138,Piotr Sawczenko,POL,Honda Civic,9.8810,144.76,Finsterwalde  
139,Andrzej Majchrzyk,POL,Honda CRX,9.8820,136.47,Pila (N/A)
140,Panos Petropoulos,GRC,Opel Corsa,9.8880,150.12,Tympaki 
141,Pawel Pietrzak,POL,Seat Arosa,9.8940,143.92,Santa Pod
142,Manajah Wells,GBR,Honda Civic,9.8960,132.98,Santa Pod NA
143,Magomedsalim Bayrambekov,RUS,Honda Civic,9.8990,126.87,Grozny 
144,Giannis Zois,GRC,Citroen Saxo,9.9080,149.92,Thiva 
145,Miguel Montebello,MLT,Honda Civic,9.9100,152.73,Hal-Far Raceway 
146,Jimmy Debattista,MLT,Toyota Glanza,9.9180,148.55,Hal-Far 
147,Kalle Uhr,SWE,Opel Corsa,9.9190,142.90,Kjula Dragway 
148,Rohit Baldew,NLD,Honda Civic,9.9210,147.67,Santa Pod 
149,Sandra Frank,DEU,Mitsubishi Colt,9.9210,143.96,Finsterwalde  
150,Boys Boy Buijs,NLD,Honda Civic,9.9250,137.33,Santa Pod (N/A)
151,Lukasz Laskowski,POL,Honda Civic,9.9260,152.57,Kiskunlacháza  
152,Arshaad Bhoelan,NLD,Honda Integra,9.9300,150.63,Drachten 
153,Robert Byrne,IRL,Renault 5,9.9340,142.56,Santa Pod  
154,Malcolm Parnis,MLT,Honda Civic,9.9390,142.51,Hal-Far Raceway
155,Takis Vouros,GRC,Fiat Punto,9.9430,144.09,Polykastro 
156,Dimitris Karafoulidis,GRC,Toyota Startlet,9.9440,149.99,Polykastro 
157,Luke Muscat,MLT,Opel Corsa,9.9440,144.09,Ħal-Far 
158,Georgiy Garakishiev,RUS,Mitsubishi Mirage,9.9490,145.77,N.Novgorod 
159,Giorgos Liakos,GRC,Seat Leon,9.9490,145.15,Thiva 
160,Winesh Akloe,NLD,Honda Integra,9.9500,150.12,Santa Pod 
161,Carl Goldsmith,GBR,VW Golf,9.9590,146.23,Santa Pod 
